Date,state
1993-02-16 00:00:00,dow-1  :  LH-2  :  LL-2  :  cc-dir-2  :  co-dir-2  :  oc-dir-2  :  cc-dir-consec-2  :  co-dir-consec-2  :  oc-dir-consec-2  :  gap-filled-1  :  L10-1  :  L20-1  :  L50-1  :  iL10-1  :  iL20-1  :  iL50-1  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-2  :  sma20-consec-2  :  sma50-consec-2  :  sma200-consec-2,
1993-02-17 00:00:00,dow-2  :  LH-3  :  LL-3  :  cc-dir-2  :  oc-dir-2  :  cc-dir-consec-3  :  co-dir-consec-1  :  oc-dir-consec-3  :  gap-filled-1  :  L10-1  :  L20-1  :  L50-1  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-3  :  sma20-consec-3  :  sma50-consec-3  :  sma200-consec-3,
1993-02-18 00:00:00,dow-3  :  OB-1  :  HH-1  :  LL-4  :  cc-dir-2  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-4  :  co-dir-consec-1  :  oc-dir-consec-4  :  gap-filled-2  :  L10-1  :  L20-1  :  L50-1  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-4  :  sma20-consec-4  :  sma50-consec-4  :  sma200-consec-4,
1993-02-19 00:00:00,dow-4  :  IB-1  :  HL-1  :  LH-1  :  cc-dir-1  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-1  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-5  :  sma20-consec-5  :  sma50-consec-5  :  sma200-consec-5,
1993-02-22 00:00:00,HH-1  :  HL-2  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-2  :  co-dir-consec-1  :  oc-dir-consec-2  :  gap-filled-2  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-6  :  sma20-consec-6  :  sma50-consec-6  :  sma200-consec-6,
1993-02-23 00:00:00,dow-1  :  OB-1  :  HH-2  :  LL-1  :  cc-dir-2  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-2  :  oc-dir-consec-1  :  gap-filled-3  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-7  :  sma20-consec-7  :  sma50-consec-7  :  sma200-consec-7,
1993-02-24 00:00:00,dow-2  :  HH-3  :  HL-1  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-3  :  oc-dir-consec-1  :  gap-filled-1  :  sma10-1  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-1  :  sma20-consec-8  :  sma50-consec-8  :  sma200-consec-8,
1993-02-25 00:00:00,dow-3  :  HH-4  :  HL-2  :  cc-dir-1  :  co-dir-2  :  oc-dir-1  :  cc-dir-consec-2  :  co-dir-consec-1  :  oc-dir-consec-2  :  gap-filled-2  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-2  :  sma20-consec-1  :  sma50-consec-1  :  sma200-consec-1,
1993-02-26 00:00:00,dow-4  :  HH-5  :  HL-3  :  cc-dir-1  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-3  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-3  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-3  :  sma20-consec-2  :  sma50-consec-2  :  sma200-consec-2,
1993-03-01 00:00:00,HH-6  :  HL-4  :  cc-dir-2  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-2  :  oc-dir-consec-2  :  gap-filled-4  :  sma10-1  :  sma20-2  :  sma50-1  :  sma200-1  :  sma10-consec-4  :  sma20-consec-1  :  sma50-consec-3  :  sma200-consec-3,
1993-03-02 00:00:00,dow-1  :  HH-7  :  HL-5  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-3  :  oc-dir-consec-1  :  gap-filled-5  :  H10-1  :  iH10-1  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-5  :  sma20-consec-1  :  sma50-consec-4  :  sma200-consec-4,
1993-03-03 00:00:00,dow-2  :  HH-8  :  HL-6  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-2  :  co-dir-consec-4  :  oc-dir-consec-2  :  gap-filled-6  :  H10-1  :  H20-1  :  H50-1  :  iH10-1  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-6  :  sma20-consec-2  :  sma50-consec-5  :  sma200-consec-5,
1993-03-04 00:00:00,dow-3  :  OB-1  :  HH-9  :  LL-1  :  cc-dir-2  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-5  :  oc-dir-consec-1  :  gap-filled-7  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-7  :  sma20-consec-3  :  sma50-consec-6  :  sma200-consec-6,
1993-03-05 00:00:00,dow-4  :  LH-1  :  LL-2  :  cc-dir-2  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-2  :  co-dir-consec-6  :  oc-dir-consec-2  :  gap-filled-8  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-8  :  sma20-consec-4  :  sma50-consec-7  :  sma200-consec-7,
1993-03-08 00:00:00,HH-1  :  HL-1  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-7  :  oc-dir-consec-1  :  gap-filled-1  :  H10-1  :  H20-1  :  H50-1  :  iH10-1  :  iH20-1  :  iH50-1  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-9  :  sma20-consec-5  :  sma50-consec-8  :  sma200-consec-8,
1993-03-09 00:00:00,dow-1  :  IB-1  :  HL-2  :  LH-1  :  cc-dir-2  :  co-dir-2  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-1  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-10  :  sma20-consec-6  :  sma50-consec-9  :  sma200-consec-9,
1993-03-10 00:00:00,dow-2  :  LL-1  :  cc-dir-1  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-1  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-11  :  sma20-consec-7  :  sma50-consec-10  :  sma200-consec-10,
1993-03-11 00:00:00,dow-3  :  HH-1  :  HL-1  :  cc-dir-2  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-2  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-12  :  sma20-consec-8  :  sma50-consec-11  :  sma200-consec-11,
1993-03-12 00:00:00,dow-4  :  LH-1  :  LL-1  :  cc-dir-2  :  co-dir-2  :  oc-dir-2  :  cc-dir-consec-2  :  co-dir-consec-1  :  oc-dir-consec-2  :  gap-filled-1  :  sma10-2  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-1  :  sma20-consec-9  :  sma50-consec-12  :  sma200-consec-12,
1993-03-15 00:00:00,HH-1  :  HL-1  :  cc-dir-1  :  co-dir-2  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-2  :  oc-dir-consec-1  :  gap-filled-2  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-1  :  sma20-consec-10  :  sma50-consec-13  :  sma200-consec-13,
1993-03-16 00:00:00,dow-1  :  HH-2  :  HL-2  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-1  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-2  :  sma20-consec-11  :  sma50-consec-14  :  sma200-consec-14,
1993-03-17 00:00:00,dow-2  :  LH-1  :  LL-1  :  cc-dir-2  :  co-dir-2  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-1  :  sma10-2  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-1  :  sma20-consec-12  :  sma50-consec-15  :  sma200-consec-15,
1993-03-18 00:00:00,dow-3  :  HH-1  :  HL-1  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-1  :  sma10-2  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-2  :  sma20-consec-13  :  sma50-consec-16  :  sma200-consec-16,
1993-03-19 00:00:00,dow-4  :  LH-1  :  LL-1  :  cc-dir-2  :  co-dir-2  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-1  :  sma10-2  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-3  :  sma20-consec-14  :  sma50-consec-17  :  sma200-consec-17,
1993-03-22 00:00:00,LH-2  :  LL-2  :  cc-dir-2  :  co-dir-2  :  oc-dir-1  :  cc-dir-consec-2  :  co-dir-consec-2  :  oc-dir-consec-1  :  gap-filled-1  :  L10-1  :  iL10-1  :  sma10-2  :  sma20-2  :  sma50-1  :  sma200-1  :  sma10-consec-4  :  sma20-consec-1  :  sma50-consec-18  :  sma200-consec-18,
1993-03-23 00:00:00,dow-1  :  HH-1  :  HL-1  :  cc-dir-1  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-1  :  sma10-2  :  sma20-2  :  sma50-1  :  sma200-1  :  sma10-consec-5  :  sma20-consec-2  :  sma50-consec-19  :  sma200-consec-19,
1993-03-24 00:00:00,dow-2  :  OB-1  :  HH-2  :  LL-1  :  co-dir-2  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-2  :  sma10-2  :  sma20-2  :  sma50-1  :  sma200-1  :  sma10-consec-6  :  sma20-consec-3  :  sma50-consec-20  :  sma200-consec-20,
1993-03-25 00:00:00,dow-3  :  HH-3  :  HL-1  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-2  :  gap-filled-3  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-1  :  sma20-consec-1  :  sma50-consec-21  :  sma200-consec-21,
1993-03-26 00:00:00,dow-4  :  IB-1  :  HL-2  :  LH-1  :  cc-dir-2  :  co-dir-2  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-4  :  sma10-2  :  sma20-2  :  sma50-1  :  sma200-1  :  sma10-consec-1  :  sma20-consec-1  :  sma50-consec-22  :  sma200-consec-22,
1993-03-29 00:00:00,HH-1  :  HL-3  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-1  :  sma10-1  :  sma20-2  :  sma50-1  :  sma200-1  :  sma10-consec-1  :  sma20-consec-2  :  sma50-consec-23  :  sma200-consec-23,
1993-03-30 00:00:00,dow-1  :  IB-1  :  HL-4  :  LH-1  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-2  :  co-dir-consec-2  :  oc-dir-consec-2  :  gap-filled-2  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-2  :  sma20-consec-1  :  sma50-consec-24  :  sma200-consec-24,
1993-03-31 00:00:00,dow-2  :  HH-1  :  HL-5  :  cc-dir-2  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-3  :  oc-dir-consec-1  :  gap-filled-3  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-3  :  sma20-consec-2  :  sma50-consec-25  :  sma200-consec-25,
1993-04-01 00:00:00,dow-3  :  LH-1  :  LL-1  :  cc-dir-2  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-2  :  co-dir-consec-4  :  oc-dir-consec-2  :  gap-filled-4  :  sma10-1  :  sma20-2  :  sma50-1  :  sma200-1  :  sma10-consec-4  :  sma20-consec-1  :  sma50-consec-26  :  sma200-consec-26,
1993-04-02 00:00:00,dow-4  :  LH-2  :  LL-2  :  cc-dir-2  :  co-dir-2  :  oc-dir-2  :  cc-dir-consec-3  :  co-dir-consec-1  :  oc-dir-consec-3  :  gap-filled-1  :  L10-1  :  L20-1  :  iL10-1  :  iL20-1  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-1  :  sma20-consec-2  :  sma50-consec-1  :  sma200-consec-1,
1993-04-05 00:00:00,IB-1  :  HL-1  :  LH-3  :  cc-dir-1  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-4  :  gap-filled-1  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-2  :  sma20-consec-3  :  sma50-consec-2  :  sma200-consec-2,
1993-04-06 00:00:00,dow-1  :  LH-4  :  LL-1  :  cc-dir-2  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-2  :  oc-dir-consec-5  :  gap-filled-2  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-3  :  sma20-consec-4  :  sma50-consec-3  :  sma200-consec-3,
1993-04-07 00:00:00,dow-2  :  IB-1  :  HL-1  :  LH-5  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-3  :  oc-dir-consec-1  :  gap-filled-3  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-4  :  sma20-consec-5  :  sma50-consec-4  :  sma200-consec-4,
1993-04-08 00:00:00,dow-3  :  OB-1  :  HH-1  :  LL-1  :  cc-dir-2  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-4  :  oc-dir-consec-1  :  gap-filled-4  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-5  :  sma20-consec-6  :  sma50-consec-5  :  sma200-consec-5,
1993-04-12 00:00:00,HH-2  :  HL-1  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-5  :  oc-dir-consec-1  :  gap-filled-1  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-1  :  sma20-consec-1  :  sma50-consec-1  :  sma200-consec-1,
1993-04-13 00:00:00,dow-1  :  HH-3  :  HL-2  :  cc-dir-1  :  co-dir-2  :  oc-dir-1  :  cc-dir-consec-2  :  co-dir-consec-1  :  oc-dir-consec-2  :  gap-filled-2  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-2  :  sma20-consec-2  :  sma50-consec-2  :  sma200-consec-2,
1993-04-14 00:00:00,dow-2  :  IB-1  :  HL-3  :  LH-1  :  cc-dir-2  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-3  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-3  :  sma20-consec-3  :  sma50-consec-3  :  sma200-consec-3,
1993-04-15 00:00:00,dow-3  :  LH-2  :  LL-1  :  co-dir-2  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-4  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-4  :  sma20-consec-4  :  sma50-consec-4  :  sma200-consec-4,
1993-04-16 00:00:00,dow-4  :  HL-1  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-2  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-5  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-5  :  sma20-consec-5  :  sma50-consec-5  :  sma200-consec-5,
1993-04-19 00:00:00,OB-1  :  HH-1  :  LL-1  :  cc-dir-2  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-2  :  gap-filled-1  :  sma10-1  :  sma20-2  :  sma50-1  :  sma200-1  :  sma10-consec-6  :  sma20-consec-1  :  sma50-consec-6  :  sma200-consec-6,
1993-04-20 00:00:00,dow-1  :  LH-1  :  LL-2  :  cc-dir-2  :  co-dir-2  :  oc-dir-2  :  cc-dir-consec-2  :  co-dir-consec-1  :  oc-dir-consec-3  :  gap-filled-2  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-1  :  sma20-consec-2  :  sma50-consec-1  :  sma200-consec-1,
1993-04-21 00:00:00,dow-2  :  IB-1  :  HL-1  :  LH-2  :  cc-dir-2  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-3  :  co-dir-consec-1  :  oc-dir-consec-4  :  gap-filled-3  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-2  :  sma20-consec-3  :  sma50-consec-2  :  sma200-consec-2,
1993-04-22 00:00:00,dow-3  :  OB-1  :  HH-1  :  LL-1  :  cc-dir-2  :  co-dir-2  :  oc-dir-2  :  cc-dir-consec-4  :  co-dir-consec-1  :  oc-dir-consec-5  :  gap-filled-4  :  L10-1  :  L20-1  :  iL10-1  :  iL20-1  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-3  :  sma20-consec-4  :  sma50-consec-3  :  sma200-consec-3,
1993-04-23 00:00:00,dow-4  :  LH-1  :  LL-2  :  cc-dir-2  :  co-dir-2  :  oc-dir-2  :  cc-dir-consec-5  :  co-dir-consec-2  :  oc-dir-consec-6  :  gap-filled-5  :  L10-1  :  L20-1  :  iL10-1  :  iL20-1  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-4  :  sma20-consec-5  :  sma50-consec-4  :  sma200-consec-4,
1993-04-26 00:00:00,LH-2  :  LL-3  :  cc-dir-2  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-6  :  co-dir-consec-1  :  oc-dir-consec-7  :  gap-filled-6  :  L10-1  :  L20-1  :  iL10-1  :  iL20-1  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-5  :  sma20-consec-6  :  sma50-consec-5  :  sma200-consec-5,
1993-04-27 00:00:00,dow-1  :  IB-1  :  HL-1  :  LH-3  :  cc-dir-1  :  co-dir-2  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-7  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-6  :  sma20-consec-7  :  sma50-consec-6  :  sma200-consec-6,
1993-04-28 00:00:00,dow-2  :  HH-1  :  HL-2  :  cc-dir-2  :  co-dir-2  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-2  :  oc-dir-consec-1  :  gap-filled-8  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-7  :  sma20-consec-8  :  sma50-consec-7  :  sma200-consec-7,
1993-04-29 00:00:00,dow-3  :  OB-1  :  HH-2  :  LL-1  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-9  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-8  :  sma20-consec-9  :  sma50-consec-8  :  sma200-consec-8,
1993-04-30 00:00:00,dow-4  :  HH-3  :  HL-1  :  cc-dir-1  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-2  :  co-dir-consec-2  :  oc-dir-consec-1  :  gap-filled-1  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-9  :  sma20-consec-10  :  sma50-consec-9  :  sma200-consec-9,
1993-05-03 00:00:00,OB-1  :  HH-4  :  LL-1  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-3  :  co-dir-consec-3  :  oc-dir-consec-1  :  gap-filled-2  :  sma10-1  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-1  :  sma20-consec-11  :  sma50-consec-10  :  sma200-consec-10,
1993-05-04 00:00:00,dow-1  :  HH-5  :  HL-1  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-4  :  co-dir-consec-4  :  oc-dir-consec-2  :  gap-filled-1  :  sma10-1  :  sma20-1  :  sma50-2  :  sma200-2  :  sma10-consec-2  :  sma20-consec-1  :  sma50-consec-11  :  sma200-consec-11,
1993-05-05 00:00:00,dow-2  :  HH-6  :  HL-2  :  cc-dir-1  :  oc-dir-1  :  cc-dir-consec-5  :  co-dir-consec-1  :  oc-dir-consec-3  :  gap-filled-1  :  H10-1  :  sma10-1  :  sma20-1  :  sma50-2  :  sma200-2  :  sma10-consec-3  :  sma20-consec-2  :  sma50-consec-12  :  sma200-consec-12,
1993-05-06 00:00:00,dow-3  :  LH-1  :  LL-1  :  cc-dir-2  :  co-dir-2  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-1  :  sma10-1  :  sma20-1  :  sma50-2  :  sma200-2  :  sma10-consec-4  :  sma20-consec-3  :  sma50-consec-13  :  sma200-consec-13,
1993-05-07 00:00:00,dow-4  :  LH-2  :  LL-2  :  cc-dir-2  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-2  :  co-dir-consec-1  :  oc-dir-consec-2  :  gap-filled-2  :  sma10-1  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-5  :  sma20-consec-1  :  sma50-consec-14  :  sma200-consec-14,
1993-05-10 00:00:00,HH-1  :  HL-1  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-2  :  oc-dir-consec-1  :  gap-filled-1  :  sma10-1  :  sma20-1  :  sma50-2  :  sma200-2  :  sma10-consec-6  :  sma20-consec-1  :  sma50-consec-15  :  sma200-consec-15,
1993-05-11 00:00:00,dow-1  :  LH-1  :  LL-1  :  cc-dir-1  :  oc-dir-1  :  cc-dir-consec-2  :  co-dir-consec-1  :  oc-dir-consec-2  :  gap-filled-1  :  H10-1  :  sma10-1  :  sma20-1  :  sma50-2  :  sma200-1  :  sma10-consec-7  :  sma20-consec-2  :  sma50-consec-16  :  sma200-consec-1,
1993-05-12 00:00:00,dow-2  :  IB-1  :  HL-1  :  LH-2  :  cc-dir-2  :  co-dir-2  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-3  :  gap-filled-1  :  sma10-1  :  sma20-1  :  sma50-2  :  sma200-2  :  sma10-consec-8  :  sma20-consec-3  :  sma50-consec-17  :  sma200-consec-1,
1993-05-13 00:00:00,dow-3  :  LH-3  :  LL-1  :  cc-dir-2  :  co-dir-2  :  oc-dir-2  :  cc-dir-consec-2  :  co-dir-consec-2  :  oc-dir-consec-1  :  gap-filled-1  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-1  :  sma20-consec-1  :  sma50-consec-18  :  sma200-consec-2,
1993-05-14 00:00:00,dow-4  :  LH-4  :  LL-2  :  cc-dir-2  :  oc-dir-2  :  cc-dir-consec-3  :  co-dir-consec-1  :  oc-dir-consec-2  :  gap-filled-1  :  L10-1  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-2  :  sma20-consec-2  :  sma50-consec-19  :  sma200-consec-3,
